subject,comparison,seed,passed,p_window,p_epoch,D,silhouette_coef,silh_thresh,acc,p_perm,hotelling_T2,F
4,left,8,True,0.4529408255051405,0.7961071585895798,1.644835237525699,0.08647736,0.008997054817154997,0.8358730158730158,0.0,371.9063758206761,31.877689356057953
4,right,8,True,7.925561291122485e-17,1.5488900683552224e-06,1.7256605475087414,0.2476646,0.010441716015338894,0.8944444444444443,0.0,530.1341591022191,45.48648556137529
4,ctrl,8,False,0.0491751890109721,0.25156918928788474,0.7417755908042853,0.03555894,0.013044246286153789,0.611111111111111,0.003,28.574778155786426,2.4517685036629824
0,left,9,True,5.303830015485243e-12,4.9531327201384704e-05,1.6607047798632026,0.2376183,0.013089170446619388,0.8425210084033614,0.0,382.0762449744022,32.67892574014521
0,right,9,True,0.00010113334395932118,0.03148912236661063,1.6300120148751052,0.10993645,0.010164131922647335,0.8032085561497325,0.0,333.03782704525213,28.4523006676119
0,ctrl,9,False,0.04510785889057413,0.1482474209618677,1.0717633788412815,0.024448432,0.016525456868112076,0.6399014778325123,0.002,57.7684792316742,4.881843315352749
1,left,9,True,0.0001540135764347968,0.04091180216343441,1.6097985865130244,0.075079784,0.0190054619684815,0.8285714285714285,0.0,173.82869010508549,14.268374386383893
1,right,9,True,1.0119276699971164e-08,0.0006996501749125436,1.9733742170172799,0.21052691,0.022046195063739955,0.8862745098039214,0.0,313.98724375496215,25.186142547189476
1,ctrl,9,False,1.0,1.0,1.4331593704504912,0.0059471508,0.041720135882496776,0.47777777777777775,0.592,44.38981982973865,3.026578624754908
2,left,9,True,3.4931302735168336e-17,1.4259648701927826e-06,1.553380974981113,0.26359496,0.012580575048923473,0.7935960591133006,0.0,214.94354462197956,18.13454366006237
2,right,9,False,0.41946415535742976,0.7795012896649302,1.3321177377384106,0.06314943,0.012735731946304398,0.7451612903225806,0.0,121.0759205726847,10.277967971552403
2,ctrl,9,False,0.8331466500181649,1.0,0.8960350060135878,-0.012278368,0.027090656571090183,0.5444444444444445,0.242,22.41057576266238,1.8058108569087454
3,left,9,True,0.003214560344603116,0.10780874722857894,1.703816051049036,0.112072505,0.009387058997526747,0.8934046345811051,0.0,446.912016812173,38.18087328734885
3,right,9,True,0.0017353033661224484,0.05975565009326557,1.584140840952036,0.06893895,0.00966972820460795,0.8424242424242424,0.0,276.73595050036585,23.614389529590618
3,ctrl,9,False,1.0,1.0,0.7904742882150309,0.009100593,0.01605450846254825,0.49333333333333335,0.506,27.61779747171688,2.3410663704526593
4,left,9,True,0.004263208668980334,0.1204544137220084,1.7159259351140042,0.10164543,0.0102368173189461,0.8982539682539683,0.0,498.2582870864251,42.70785317883644
4,right,9,True,0.0005391484940734933,0.19535622455155727,1.7193243250565915,0.13995224,0.010622648382559415,0.9,0.0,515.0053179023389,44.18840317037432
4,ctrl,9,False,0.5510869233828343,1.0,0.6051689209003139,-0.0037359667,0.015874356590211355,0.5222222222222223,0.345,18.05011333515138,1.5487329112898016
0,left,10,True,2.0472392479615136e-18,8.93322794754555e-07,1.7209743839027318,0.30671084,0.011500994162634014,0.8890756302521009,0.0,492.61478726817865,42.133271207983
0,right,10,True,0.0001909489155383029,0.06010898168984874,1.6266296923482315,0.12818506,0.010773263825103636,0.809625668449198,0.0,328.921574032261,28.100638307246832
0,ctrl,10,False,0.8676596619540492,1.0,0.5692359816436419,0.0017692588,0.014359456067904819,0.485960591133005,0.584,12.612326285555175,1.0658303903286064
1,left,10,True,2.1509586716962476e-05,0.018140782980943546,1.7539444612774637,0.11993567,0.016835973411798474,0.8285714285714285,0.0,301.5819587959892,24.754741542830534
1,right,10,True,0.0007346732332514118,0.1086456771614193,1.863652171728913,0.16451709,0.020707332342863028,0.8607843137254904,0.0,200.12159977139822,16.052534741021248
1,ctrl,10,False,0.7578617967687006,1.0,1.2535005798738545,0.014875371,0.05561541039496654,0.42777777777777776,0.79,26.934047334014412,1.8364123182282555
2,left,10,True,4.412814595422626e-06,0.019854721879242913,1.6236923899146203,0.15849204,0.011927031213417648,0.8428571428571429,0.0,274.0776437881249,23.123620698932704
2,right,10,False,0.2597957773266546,0.7815556254755055,1.3656459976583857,0.062190797,0.010238316887989632,0.7449462365591398,0.0,132.66965130317627,11.262143789131759
2,ctrl,10,False,0.03444055006734536,0.46213735237644327,0.8461069768651499,0.042159267,0.029615209344774473,0.5333333333333334,0.288,19.44616531229681,1.5669430726850735
3,left,10,True,0.0011821677524789494,0.03722744002540522,1.633958042079688,0.099138536,0.00914112692698836,0.8695187165775401,0.0,337.93897096149004,28.87101832967823
3,right,10,True,0.018415100450961105,0.2777728271074368,1.6217617490542875,0.07248667,0.011390191596001376,0.8666666666666668,0.0,315.80479205446244,26.948205903141524
3,ctrl,10,False,0.7426902279020429,0.7775119850607677,1.1954715643307225,0.0033363756,0.01954884575679898,0.5933333333333334,0.022,83.13647478562373,7.047195037110612
4,left,10,True,1.560715955848029e-11,7.640708652799931e-05,1.6777701513817138,0.20014445,0.010597593942657083,0.8588888888888888,0.0,423.3380362098333,36.28611738941428
4,right,10,True,2.894107332688019e-06,0.019096056845063346,1.7532112366307795,0.158682,0.010484289610758406,0.95,0.0,605.2100450226513,51.9281346086851
4,ctrl,10,False,1.0,1.0,0.7554912917529263,-0.0027837728,0.017688130494207113,0.43888888888888894,0.817,29.81986102688081,2.5585989032257284
0,left,11,True,9.462701968377637e-09,0.003473980875751855,1.7004227412089525,0.21432985,0.011382122430950391,0.8421848739495799,0.0,449.7932540547478,38.47075169161103
0,right,11,True,0.759655654945417,0.7951936601961638,1.5871924219927973,0.060873464,0.010816857824102027,0.8153297682709448,0.0,286.0180012929493,24.4352728377328
0,ctrl,11,False,1.0,0.5639234907191043,0.7618990053471784,-0.0053454065,0.01640136912465093,0.4165024630541872,0.894,24.303104036499377,2.0537834397041728
1,left,11,True,4.829195550778073e-12,2.0077937570804042e-05,1.735165822067949,0.21107835,0.016906893439590908,0.8666666666666666,0.0,277.8325239166715,22.805317497131906
