seed,test_idx,hbr_multiplier,hbr_shift,window_length,add_hbr,accuracy
42,3,3,0,20,True,0.648217636022514
42,3,3,0,20,False,0.648217636022514
42,3,3,0,30,True,0.6609454983438723
42,3,3,0,30,False,0.6720867208672087
42,3,3,1,15,True,0.6294461382113821
42,3,3,1,15,False,0.6275406504065041
42,3,3,1,20,True,0.6514339319217368
42,3,3,1,20,False,0.6388367729831145
42,3,3,1,30,True,0.666967780788919
42,3,3,1,30,False,0.634447455585667
42,3,3,2,15,True,0.6384654471544715
42,3,3,2,15,False,0.6067073170731707
42,3,3,2,20,True,0.6136424551058698
42,3,3,2,20,False,0.611364245510587
42,3,3,2,30,True,0.6115627822944896
42,3,3,2,30,False,0.59936766034327
42,3,3,3,15,True,0.6464684959349594
42,3,3,3,15,False,0.5978150406504065
42,3,3,3,20,True,0.6309300455641919
42,3,3,3,20,False,0.6042615920664701
42,3,3,3,30,True,0.6586871424269798
42,3,3,3,30,False,0.5853658536585366
42,3,5,0,15,True,0.6713668699186992
42,3,5,0,15,False,0.6129319105691057
42,3,5,0,20,True,0.648217636022514
42,3,5,0,20,False,0.6629589922272849
42,3,5,0,30,True,0.6609454983438723
42,3,5,0,30,False,0.6540198735320687
42,3,5,1,15,True,0.6294461382113821
42,3,5,1,15,False,0.6436737804878049
42,3,5,1,20,True,0.6514339319217368
42,3,5,1,20,False,0.6455373894398284
42,3,5,1,30,True,0.666967780788919
42,3,5,1,30,False,0.6607949412827462
42,3,5,2,15,True,0.6384654471544715
42,3,5,2,15,False,0.6107723577235772
42,3,5,2,20,True,0.6136424551058698
42,3,5,2,20,False,0.631466094880729
42,3,5,2,30,True,0.6115627822944896
42,3,5,2,30,False,0.6028304727491719
42,3,5,3,15,True,0.6464684959349594
42,3,5,3,15,False,0.5584349593495935
42,3,5,3,20,True,0.6309300455641919
42,3,5,3,20,False,0.5959528276601447
42,3,5,3,30,True,0.6586871424269798
42,3,5,3,30,False,0.5904847937368263
42,4,1,0,15,True,0.7357209737827716
42,4,1,0,15,False,0.7718867041198502
42,4,1,0,20,True,0.7361402642301519
42,4,1,0,20,False,0.7802197802197802
42,4,1,0,30,True,0.7272853377722291
42,4,1,0,30,False,0.7480926619503399
42,4,1,1,15,True,0.7188670411985019
42,4,1,1,15,False,0.7498829588014981
42,4,1,1,20,True,0.7008272626250154
42,4,1,1,20,False,0.7456476108161502
42,4,1,1,30,True,0.7166042446941323
42,4,1,1,30,False,0.7733388819531142
42,4,1,2,15,True,0.7296348314606742
42,4,1,2,15,False,0.7656835205992509
42,4,1,2,20,True,0.7121866897147796
42,4,1,2,20,False,0.7414495616742808
42,4,1,2,30,True,0.7539187127202108
42,4,1,2,30,False,0.7909557497572479
42,4,1,3,15,True,0.7173455056179775
42,4,1,3,15,False,0.74812734082397
42,4,1,3,20,True,0.7109519693789357
42,4,1,3,20,False,0.75688356587233
42,4,1,3,30,True,0.7218754334859204
42,4,1,3,30,False,0.7844361215147732
42,4,3,0,15,True,0.7357209737827716
42,4,3,0,15,False,0.7820692883895131
42,4,3,0,20,True,0.7361402642301519
42,4,3,0,20,False,0.7797258920854426
42,4,3,0,30,True,0.7272853377722291
42,4,3,0,30,False,0.7669579692051602
42,4,3,1,15,True,0.7188670411985019
42,4,3,1,15,False,0.7751638576779026
42,4,3,1,20,True,0.7008272626250154
42,4,3,1,20,False,0.7814545005556242
42,4,3,1,30,True,0.7166042446941323
42,4,3,1,30,False,0.7698709945900957
42,4,3,2,15,True,0.7296348314606742
42,4,3,2,15,False,0.7607677902621723
42,4,3,2,20,True,0.7121866897147796
42,4,3,2,20,False,0.7566366218051611
42,4,3,2,30,True,0.7539187127202108
42,4,3,2,30,False,0.7863781384380635
42,4,3,3,15,True,0.7173455056179775
42,4,3,3,15,False,0.7684925093632958
42,4,3,3,20,True,0.7109519693789357
42,4,3,3,20,False,0.7656500802568218
42,4,3,3,30,True,0.7218754334859204
42,4,3,3,30,False,0.7505895408517131
42,4,5,0,15,True,0.7357209737827716
42,4,5,0,15,False,0.7550327715355806
42,4,5,0,20,True,0.7361402642301519
42,4,5,0,20,False,0.7858994937646623
42,4,5,0,30,True,0.7272853377722291
42,4,5,0,30,False,0.7745873214038008
42,4,5,1,15,True,0.7188670411985019
42,4,5,1,15,False,0.7881554307116105
42,4,5,1,20,True,0.7008272626250154
42,4,5,1,20,False,0.7757747870107421
42,4,5,1,30,True,0.7166042446941323
42,4,5,1,30,False,0.7614093494243307
42,4,5,2,15,True,0.7296348314606742
42,4,5,2,15,False,0.7477762172284644
42,4,5,2,20,True,0.7121866897147796
42,4,5,2,20,False,0.7642918878873936
42,4,5,2,30,True,0.7539187127202108
42,4,5,2,30,False,0.7657095297544736
42,4,5,3,15,True,0.7173455056179775
42,4,5,3,15,False,0.7529260299625468
42,4,5,3,20,True,0.7109519693789357
42,4,5,3,20,False,0.777009507346586
42,4,5,3,30,True,0.7231238729366071
42,4,5,3,30,False,0.7401858787626577
43,0,1,0,15,True,0.6564980158730159
43,0,1,0,15,False,0.6515376984126984
43,0,1,0,20,True,0.652014652014652
43,0,1,0,20,False,0.6241496598639455
43,0,1,0,30,True,0.6571134626690183
43,0,1,0,30,False,0.6403586125808348
43,0,1,1,15,True,0.642609126984127
43,0,1,1,15,False,0.6225198412698413
43,0,1,1,20,True,0.6289900575614862
43,0,1,1,20,False,0.6433804290947148
43,0,1,1,30,True,0.6427101704879483
43,0,1,1,30,False,0.6637272192827748
43,0,1,2,15,True,0.6573660714285714
43,0,1,2,15,False,0.5747767857142857
43,0,1,2,20,True,0.6122448979591837
43,0,1,2,20,False,0.61996336996337
43,0,1,2,30,True,0.6089065255731922
43,0,1,2,30,False,0.630217519106408
43,0,1,3,15,True,0.644593253968254
43,0,1,3,15,False,0.5659722222222222
43,0,1,3,20,True,0.6126373626373627
43,0,1,3,20,False,0.5692046049188907
43,0,1,3,30,True,0.6666666666666666
43,0,1,3,30,False,0.5821575543797766
43,0,3,0,15,True,0.6564980158730159
43,0,3,0,15,False,0.6274801587301587
43,0,3,0,20,True,0.652014652014652
43,0,3,0,20,False,0.6364468864468864
43,0,3,0,30,True,0.6571134626690183
43,0,3,0,30,False,0.6190476190476191
43,0,3,1,15,True,0.642609126984127
43,0,3,1,15,False,0.6388888888888888
43,0,3,1,20,True,0.6289900575614862
43,0,3,1,20,False,0.6416797488226059
43,0,3,1,30,True,0.6427101704879483
43,0,3,1,30,False,0.6741622574955908
43,0,3,2,15,True,0.6573660714285714
43,0,3,2,15,False,0.5633680555555556
43,0,3,2,20,True,0.6122448979591837
43,0,3,2,20,False,0.5824175824175825
43,0,3,2,30,True,0.6089065255731922
43,0,3,2,30,False,0.6092004703115814
43,0,3,3,15,True,0.644593253968254
43,0,3,3,15,False,0.5629960317460317
43,0,3,3,20,True,0.6126373626373627
43,0,3,3,20,False,0.597854526425955
43,0,3,3,30,True,0.6666666666666666
43,0,3,3,30,False,0.6080246913580247
43,0,5,0,15,True,0.6564980158730159
43,0,5,0,15,False,0.6392609126984127
43,0,5,0,20,True,0.652014652014652
43,0,5,0,20,False,0.5536368393511251
43,0,5,0,30,True,0.6571134626690183
43,0,5,0,30,False,0.6662257495590829
43,0,5,1,15,True,0.642609126984127
43,0,5,1,15,False,0.646453373015873
43,0,5,1,20,True,0.6289900575614862
43,0,5,1,20,False,0.641810570381999
43,0,5,1,30,True,0.6427101704879483
43,0,5,1,30,False,0.6297766019988242
43,0,5,2,15,True,0.6573660714285714
43,0,5,2,15,False,0.5391865079365079
43,0,5,2,20,True,0.6122448979591837
43,0,5,2,20,False,0.6017791732077447
43,0,5,2,30,True,0.6089065255731922
43,0,5,2,30,False,0.6381540270429159
43,0,5,3,15,True,0.644593253968254
43,0,5,3,15,False,0.5084325396825397
43,0,5,3,20,True,0.6126373626373627
43,0,5,3,20,False,0.597723704866562
43,0,5,3,30,True,0.6666666666666666
43,0,5,3,30,False,0.6064079952968842
43,1,1,0,15,True,0.6005329457364341
43,1,1,0,15,False,0.596172480620155
43,1,1,0,20,True,0.645284947610529
43,1,1,0,20,False,0.6514183490927677
43,1,1,0,30,True,0.6991099626758541
43,1,1,0,30,False,0.673557278208441
43,1,1,1,15,True,0.5772771317829457
43,1,1,1,15,False,0.5743701550387597
43,1,1,1,20,True,0.6565295169946332
43,1,1,1,20,False,0.6731408126756964
43,1,1,1,30,True,0.7137525122021247
43,1,1,1,30,False,0.6546080964685616
43,1,1,2,15,True,0.5542635658914729
43,1,1,2,15,False,0.6102228682170543
43,1,1,2,20,True,0.6092512139023767
43,1,1,2,20,False,0.6491183235369282
43,1,1,2,30,True,0.6930806775768016
43,1,1,2,30,False,0.684180304335343
43,1,1,3,15,True,0.6262112403100775
43,1,1,3,15,False,0.5862403100775194
43,1,1,3,20,True,0.6549961666240736
43,1,1,3,20,False,0.5992844364937389
43,1,1,3,30,True,0.6563307493540051
43,1,1,3,30,False,0.608670686190066
43,1,3,0,15,True,0.6005329457364341
43,1,3,0,15,False,0.6036821705426356
43,1,3,0,20,True,0.645284947610529
43,1,3,0,20,False,0.6013289036544851
43,1,3,0,30,True,0.7103072064312375
43,1,3,0,30,False,0.7082974447315532
43,1,3,1,15,True,0.5772771317829457
43,1,3,1,15,False,0.6608527131782945
