subject,CONTROL_REPLACEMENT_FRAC,seed,smallest_combined_p,smallest_overall_p,left_hbo_p_phase,left_hbo_p_power,left_hbo_p_combined,left_hbr_p_phase,left_hbr_p_power,left_hbr_p_combined,right_hbo_p_phase,right_hbo_p_power,right_hbo_p_combined,right_hbr_p_phase,right_hbr_p_power,right_hbr_p_combined
2,0.05,4,0.0015990403199104275,,0.0007998400319936012,0.006300753112242742,0.0015990403199104275,0.01779644071185763,0.007607480629357468,0.015157087497188915,0.21115776844631073,0.0073327426120515645,0.014611716109888429,0.22195560887822435,0.008956859263117619,0.017833493198375905
2,0.05,5,0.0023980806718080228,,0.0011997600479904018,0.0035623287761613405,0.0023980806718080228,0.008398320335932814,0.013310515064909855,0.01672610888740067,0.038792241551689664,0.004872039677634004,0.009720342584647712,0.08678264347130574,0.04238895531333802,0.08298108709411978
2,0.05,6,0.0023980806718080228,,0.0011997600479904018,0.003835567493364063,0.0023980806718080228,0.010397920415916816,0.007972578072837464,0.015881594144547484,0.18156368726254749,0.007889545342800796,0.015716845759885523,0.21495700859828035,0.0067292015132209455,0.01341312087343638
2,0.1,0,0.005521661989504212,,0.003799240151969606,0.007834721280700195,0.007584046078206952,0.017196560687862426,0.031219974607638454,0.0340973996762336,0.17956408718256348,0.007056149721964034,0.014062510195029243,0.397120575884823,0.002764652646881041,0.005521661989504212
2,0.1,1,0.000681653855099329,,0.002599480103979204,0.006787937792607488,0.005192202911147525,0.013797240551889621,0.03429198183021171,0.02740411725693248,0.376124775044991,0.0003408850288510644,0.000681653855099329,0.8310337932413517,0.004386977979072395,0.008754710382355868
2,0.1,2,0.004394282111384151,,0.0021995600879824036,0.004701910013804214,0.004394282111384151,0.03539292141571686,0.003170442982389336,0.006330834256074058,0.23395320935812838,0.008970273057847124,0.017860080316961957,0.4251149770045991,0.010005356276573101,0.019910605398924974
2,0.1,3,0.011166412988148133,,0.005598880223955209,0.006397808218100826,0.011166412988148133,0.01879624075184963,0.014457029061010807,0.028705052432750566,0.41011797640471903,0.010070159667907868,0.020038911220078726,0.23735252949410118,0.018347032946554594,0.03635745227516729
2,0.1,4,0.00039988003199198374,,0.0001999600079984003,0.00023788352553973826,0.00039988003199198374,0.01779644071185763,0.004623661874720853,0.009225945500309973,0.24495100979804038,0.013663305656969287,0.027139925392462794,0.34693061387722457,0.008035203896445124,0.01600584329123267
2,0.1,5,0.0002840249872713141,,0.004599080183963208,0.00014202257884209508,0.0002840249872713141,0.021195760847830435,0.00045118442530265126,0.0009021652832197358,0.1833633273345331,0.027687082503606127,0.05460759046965069,0.46870625874825034,0.10445274741179986,0.19799511838172645
2,0.1,6,0.0023980806718080228,,0.0011997600479904018,0.0046697192774015185,0.0023980806718080228,0.09458108378324336,0.0060470380703247836,0.012057509471225636,0.1947610477904419,0.010415671767629864,0.02072285731688861,0.3089382123575285,0.03436559566998231,0.06755019717421196
2,0.15000000000000002,0,0.002818453571487911,,0.0015996800639872025,0.0015986721971108166,0.0031947886414278592,0.041391721655668866,0.024576024899680363,0.04854806879949103,0.17196560687862428,0.0014102211475864883,0.002818453571487911,0.3065386922615477,0.0486999856560623,0.09502828270922381
2,0.15000000000000002,1,0.0032447008206184513,,0.002599480103979204,0.0016236685601057673,0.0032447008206184513,0.010397920415916816,0.003679545593163684,0.0073455521305551,0.15356928614277143,0.007628197023442009,0.015198204657055459,0.4997000599880024,0.07189049266795472,0.1386127423998681
